Season_ID,Player_ID,Team_ID,G,GS,ThreeP,ThreePA,TwoP,TwoPA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Trp_Dbl
2022,104,25,24,16,31,106,74,176,68,97,19,55,94,24,10,58,52,309,0
2024,104,7,17,0,3,15,17,39,11,17,4,9,17,1,1,7,4,54,0
2025,104,7,33,3,24,60,74,128,55,66,12,46,76,24,5,39,33,275,0
2026,104,7,54,15,32,132,215,393,178,230,26,135,206,51,13,103,83,704,0
2024,105,8,20,0,2,5,5,12,6,8,3,15,9,2,1,1,5,22,0
2024,107,29,32,11,34,115,51,103,37,41,16,86,55,13,6,47,43,241,0
2025,107,29,71,15,157,372,118,227,65,73,42,168,110,46,8,107,111,772,0
2026,107,29,61,10,113,334,158,284,121,145,44,137,98,42,6,76,112,776,0
2022,108,2,12,0,2,9,6,9,3,5,2,8,11,1,1,6,7,21,0
2025,109,14,27,1,9,32,12,35,11,14,4,14,22,9,3,13,13,62,0
2026,109,14,31,1,12,29,13,34,4,5,4,11,37,11,2,14,16,66,0
2021,110,17,70,70,95,281,227,359,120,142,104,243,50,40,103,64,149,859,0
2022,110,17,13,11,19,53,42,78,20,23,19,34,6,8,15,12,34,161,0
2023,110,17,78,78,136,364,341,535,149,190,157,363,99,37,193,107,203,1239,0
2024,110,17,79,79,148,404,218,351,110,134,117,292,127,43,189,79,191,990,0
2025,110,17,80,80,139,373,255,401,114,138,113,288,143,50,148,84,171,1041,0
2026,110,13,56,21,82,235,74,145,37,44,25,146,61,36,54,45,104,431,0
2026,111,21,33,0,5,17,14,33,4,6,11,46,18,6,4,8,21,47,0
2021,112,3,65,37,17,59,218,364,86,117,111,238,104,58,28,54,145,573,0
2022,112,3,72,45,38,94,218,412,97,128,100,245,148,77,52,56,176,647,0
2023,112,8,80,31,91,254,267,487,116,153,63,265,268,87,51,123,190,923,1
2026,112,8,64,2,39,107,149,297,71,93,75,180,140,71,15,72,156,486,0
2021,114,1,33,0,0,2,18,42,15,22,16,62,10,4,3,21,23,51,0
2024,114,1,45,2,0,4,109,183,64,96,59,134,46,25,28,44,107,282,0
2025,114,28,17,2,0,0,26,49,6,8,21,30,18,4,9,14,27,58,0
2023,115,4,46,7,26,80,54,122,60,80,20,73,54,15,6,43,48,246,0
2024,115,4,59,14,34,102,67,128,66,85,17,85,51,21,10,30,74,302,0
2025,115,25,13,0,0,4,4,10,5,6,2,1,2,1,0,4,3,13,0
2026,115,19,41,13,38,93,75,142,72,93,12,75,59,26,8,16,85,336,0
2021,116,17,70,10,154,341,96,188,47,61,11,101,45,24,1,44,77,701,0
2023,116,18,25,0,14,46,16,37,15,15,4,11,17,7,2,12,22,89,0
2025,117,30,82,57,138,407,162,341,69,85,33,308,364,54,21,141,190,807,0
2026,117,30,62,32,124,316,89,223,59,80,29,197,282,42,14,141,139,609,0
2023,118,9,10,0,4,25,1,2,2,2,2,4,4,2,0,0,6,16,0
2024,118,9,10,0,8,25,1,4,8,10,3,7,3,0,1,0,5,34,0
2021,119,26,71,71,282,721,121,271,88,104,29,305,257,63,30,130,175,1176,0
2023,119,12,80,73,288,677,187,361,106,129,67,333,225,92,26,139,156,1344,0
2025,119,10,82,22,203,549,125,237,53,64,51,213,134,69,23,91,132,912,0
2022,121,9,64,64,114,363,315,668,142,168,58,296,356,78,43,234,200,1114,2
2023,121,9,12,12,17,61,76,163,36,43,12,62,72,10,7,39,34,239,0
2024,121,9,62,62,119,335,405,832,238,274,33,235,464,56,22,212,153,1405,0
2025,121,9,70,70,149,418,535,1039,313,370,56,369,638,71,53,309,195,1830,9
2026,121,9,55,55,109,326,383,755,293,361,50,268,541,81,51,208,177,1386,3
2023,122,22,51,4,46,136,20,46,15,18,34,65,30,12,7,18,63,193,0
2024,122,22,59,13,72,193,8,13,21,26,28,56,29,15,4,16,61,253,0
2025,122,22,58,6,64,160,16,30,15,17,19,56,35,22,6,13,62,239,0
2026,122,1,12,0,6,12,1,3,3,3,4,2,2,1,1,4,8,23,0
2026,123,25,45,1,93,290,96,195,36,49,25,89,122,27,4,61,47,507,0
2021,124,4,53,3,31,125,65,131,41,64,31,110,67,37,12,33,62,264,0
2022,124,16,60,12,64,155,144,255,71,93,70,160,64,58,30,52,104,551,0
2023,124,16,71,49,84,236,170,312,91,113,88,256,117,71,31,78,145,683,0
2024,124,16,64,23,81,232,160,327,77,99,74,207,143,47,29,77,126,640,0
2026,124,7,54,12,19,52,63,126,33,57,25,108,78,39,12,36,80,216,0
2025,125,13,13,0,2,13,5,11,2,4,3,9,6,5,1,2,4,18,0
2026,125,13,43,0,12,45,32,71,33,44,13,51,25,11,3,17,18,133,0
2021,126,1,26,21,33,126,63,137,67,82,22,82,35,33,9,34,68,292,0
2024,126,14,48,26,37,110,54,124,41,54,27,72,48,47,14,31,64,260,0
2025,126,14,33,8,13,47,25,47,16,26,17,49,22,33,10,12,43,105,0
2025,127,15,25,1,19,52,15,30,19,19,12,18,34,9,1,6,23,106,0
2026,127,15,60,15,124,280,102,193,107,115,32,130,329,42,8,80,86,683,0
2022,128,3,67,2,47,174,171,329,87,105,16,145,78,33,8,55,66,570,0
2023,128,3,57,4,51,133,150,323,151,174,8,87,78,20,7,63,55,604,0
2024,128,3,66,51,144,396,382,794,286,334,28,186,192,45,16,124,138,1482,0
2025,128,3,25,23,68,195,131,259,133,151,15,68,94,15,2,62,44,599,0
2024,129,11,47,2,79,220,133,247,76,112,44,136,33,30,17,46,64,579,0
2025,129,11,51,3,65,183,114,220,54,72,36,115,49,31,13,46,44,477,0
2026,129,30,21,0,16,56,61,113,23,31,19,39,15,15,8,18,25,193,0
2021,130,24,60,11,117,335,86,148,50,59,33,166,86,37,16,40,85,573,0
2022,130,24,66,16,166,391,113,216,98,114,42,231,99,57,16,47,113,822,0
2024,130,3,58,47,138,353,138,266,86,109,55,196,138,49,15,57,105,776,0
2025,130,3,57,57,159,408,196,339,201,225,54,193,194,53,25,99,104,1070,0
2026,130,8,38,38,68,168,77,156,68,81,28,115,90,24,13,35,89,426,0
2021,133,24,60,1,73,166,118,229,50,56,16,128,217,36,16,60,97,505,0
2022,133,24,58,12,71,211,169,376,75,89,24,151,282,40,17,103,119,626,0
2023,133,24,48,15,68,185,120,268,49,64,12,94,214,33,8,81,88,493,0
2025,133,20,72,5,93,256,86,190,49,54,14,90,203,39,16,52,111,500,0
2023,135,6,74,30,127,324,193,418,130,180,53,229,287,72,24,116,170,897,0
2024,135,6,68,10,108,332,237,488,154,201,39,241,346,76,34,117,121,952,0
2026,135,9,45,0,45,136,74,149,43,63,14,65,118,40,29,61,72,326,0
2021,137,25,69,3,133,325,194,452,137,154,32,182,104,46,38,61,144,924,0
2022,137,14,69,3,149,397,170,326,132,159,62,226,68,47,52,59,166,919,0
2021,138,2,31,1,18,63,29,48,11,13,3,23,14,7,1,7,25,123,0
2026,139,27,52,0,34,102,31,72,15,22,25,92,22,11,14,20,52,179,0
2024,140,21,82,13,98,234,119,208,29,37,52,135,120,76,37,45,129,561,0
2025,140,21,68,43,74,208,158,281,30,37,71,158,173,120,35,59,145,568,0
