"",Season,Date,Score,Excitment,Tension,Comeback,MVP,LVP
176,2024,2024-11-15,"MIN 130, SAC 126",10.2,74.2,11.6,A. Edwards: +59.8%,K. Ellis: -32.2%
177,2024,2024-11-15,"LAL 120, SAS 115",8.8,88.9,2.5,A. Reaves: +41.9%,C. Reddish: -10.8%
178,2024,2024-11-15,"DET 99, TOR 95",8.3,88.0,3.9,M. Beasley: +23.6%,G. Dick: -31.6%
179,2024,2024-11-15,"CHI 126, CLE 144",7.1,78.4,1.2,C. White: +21.3%,Z. LaVine: -13.8%
180,2024,2024-11-15,"BKN 122, NYK 124",7.0,67.5,1.8,J. Brunson: +79.1%,C. Payne: -7.2%
181,2024,2024-11-15,"DEN 94, NOP 101",6.7,83.7,1.7,M. Porter Jr.: +18.1%,Y. Missi: -19.1%
182,2024,2024-11-15,"PHI 86, ORL 98",6.2,82.8,4.2,J. McCain: +29.9%,G. Bitadze: -16.0%
183,2024,2024-11-15,"MEM 118, GSW 123",5.3,61.8,1.4,J. Jackson Jr.: +8.8%,V. Williams Jr.: -11.4%
184,2024,2024-11-15,"WAS 117, ATL 129",4.4,58.6,2.9,D. Daniels: +18.0%,K. Kuzma: -15.2%
185,2024,2024-11-15,"MIA 124, IND 111",4.2,62.6,1.3,K. Love: +19.3%,B. Mathurin: -9.5%
186,2024,2024-11-15,"LAC 104, HOU 125",3.2,46.9,1.0,J. Smith Jr.: +17.4%,D. Jones Jr.: -8.7%
187,2024,2024-11-15,"PHX 83, OKC 99",2.9,46.8,1.3,I. Joe: +7.3%,J. Nurki?: -11.4%
188,2024,2024-11-16,"TOR 123, BOS 126",13.2,96.0,4.8,J. Brown: +40.5%,R. Barrett: -32.6%
189,2024,2024-11-16,"MIL 114, CHA 115",9.9,95.1,3.7,L. Ball: +39.3%,G. Antetokounmpo: -21.4%
190,2024,2024-11-16,"UTA 117, SAC 121",9.3,86.2,7.3,L. Markkanen: +43.2%,J. Clarkson: -26.7%
191,2024,2024-11-16,"LAL 104, NOP 99",8.4,86.0,5.7,D. Knecht: +28.8%,A. Reaves: -11.7%
192,2024,2024-11-16,"SAS 93, DAL 110",4.4,60.0,2.0,D. Gafford: +16.1%,S. Castle: -7.5%
193,2024,2024-11-17,"ATL 110, POR 114",9.6,80.5,5.8,S. Sharpe: +46.9%,D. Daniels: -55.1%
194,2024,2024-11-17,"PHX 117, MIN 120",9.3,83.9,21.1,A. Edwards: +54.9%,R. Dunn: -8.5%
195,2024,2024-11-17,"MIA 110, IND 119",6.7,78.5,1.1,M. Turner: +29.2%,H. Highsmith: -16.0%
196,2024,2024-11-17,"DAL 121, OKC 119",6.4,78.3,1.2,S. Gilgeous-Alexander: +20.6%,C. Wallace: -9.5%
197,2024,2024-11-17,"CHA 114, CLE 128",6.3,72.5,1.0,T. Jerome: +25.8%,C. LeVert: -9.9%
198,2024,2024-11-17,"BKN 104, NYK 114",5.5,72.1,1.6,C. Johnson: +25.2%,B. Simmons: -12.2%
199,2024,2024-11-17,"DET 124, WAS 104",3.7,54.6,1.1,M. Beasley: +19.3%,M. Brogdon: -8.0%
200,2024,2024-11-17,"DEN 90, MEM 105",3.2,53.3,1.7,J. Huff: +6.9%,J. Murray: -9.4%
201,2024,2024-11-17,"HOU 143, CHI 107",3.1,46.5,1.2,F. VanVleet: +13.8%,P. Williams: -9.3%
202,2024,2024-11-17,"UTA 105, LAC 116",2.7,43.8,1.0,J. Harden: +8.5%,K. George: -6.3%
203,2024,2024-11-18,"ATL 109, SAC 108",9.2,92.0,3.3,D. Hunter: +31.7%,D. Fox: -30.5%
204,2024,2024-11-18,"HOU 100, MIL 101",8.1,82.3,18.0,B. Lopez: +30.7%,G. Antetokounmpo: -16.4%
205,2024,2024-11-18,"GSW 99, LAC 102",7.1,80.7,1.2,N. Powell: +18.1%,D. Green: -19.4%
206,2024,2024-11-18,"CHI 122, DET 112",6.8,79.7,1.2,N. Vu?evi?: +22.8%,T. Hardaway Jr.: -16.4%
207,2024,2024-11-18,"PHI 89, MIA 106",4.8,67.8,6.8,J. Butler: +30.1%,B. Adebayo: -12.4%
208,2024,2024-11-18,"IND 119, TOR 130",4.6,57.2,1.1,R. Barrett: +11.6%,J. Shead: -9.1%
209,2024,2024-11-18,"ORL 109, PHX 99",4.1,60.2,1.1,F. Wagner: +18.7%,R. O'Neale: -9.5%
210,2024,2024-11-18,"WAS 106, NYK 134",2.0,37.5,1.4,J. Hart: +9.0%,K. George: -5.7%
211,2024,2024-11-19,"CHA 115, BKN 116",8.9,83.3,6.3,C. Johnson: +30.5%,L. Ball: -25.3%
212,2024,2024-11-19,"CLE 117, BOS 120",5.9,71.0,1.2,J. Tatum: +24.6%,D. Garland: -26.6%
213,2024,2024-11-19,"DEN 122, MEM 110",5.3,57.8,1.0,J. Murray: +14.8%,D. Bane: -14.2%
214,2024,2024-11-19,"OKC 104, SAS 110",5.2,66.8,2.6,K. Johnson: +22.9%,S. Castle: -23.2%
215,2024,2024-11-19,"UTA 118, LAL 124",3.5,53.6,1.1,D. Knecht: +25.0%,I. Collier: -10.4%
216,2024,2024-11-19,"NOP 91, DAL 132",2.7,41.8,1.0,K. Thompson: +10.2%,B. Boston Jr.: -6.0%
217,2024,2024-11-20,"POR 99, OKC 109",7.8,85.5,2.3,J. Williams: +32.8%,L. Dort: -13.5%
218,2024,2024-11-20,"CHI 106, MIL 122",5.7,69.6,1.1,G. Antetokounmpo: +36.3%,J. Giddey: -11.1%
219,2024,2024-11-20,"PHI 111, MEM 117",5.5,72.4,1.5,G. Yabusele: +20.9%,T. Maxey: -14.8%
